,expected_shortfall,value_at_risk,method,symbol,alpha
0,0.0438,0.0275,Historical Data,Apple,0.05
1,0.0372,0.0295,Normal Distribution,Apple,0.05
2,0.0375,0.0298,Normal Distribution Sampling,Apple,0.05
3,0.0402,0.0207,Historical Data,Swiss Re,0.05
4,0.0319,0.0255,Normal Distribution,Swiss Re,0.05
5,0.032,0.0255,Normal Distribution Sampling,Swiss Re,0.05
6,0.0799,0.0495,Historical Data,Tesla,0.05
7,0.0701,0.0556,Normal Distribution,Tesla,0.05
8,0.0705,0.0554,Normal Distribution Sampling,Tesla,0.05
9,0.0219,0.0153,Historical Data,Gold,0.05
10,0.019,0.0151,Normal Distribution,Gold,0.05
11,0.019,0.0153,Normal Distribution Sampling,Gold,0.05
12,0.0983,0.0621,Historical Data,Bitcoin,0.05
13,0.0801,0.0635,Normal Distribution,Bitcoin,0.05
14,0.0793,0.0633,Normal Distribution Sampling,Bitcoin,0.05
